Date,Open,High,Low,Close,Adj Close,Volume
2021-06-09,127.209999,127.750000,126.519997,127.129997,125.657463,56877900
2021-06-10,127.019997,128.190002,125.940002,126.110001,124.649292,71186400
2021-06-11,126.529999,127.440002,126.099998,127.349998,125.874924,53522400
2021-06-14,127.820000,130.539993,127.070000,130.479996,128.968689,96906500
2021-06-15,129.940002,130.600006,129.389999,129.639999,128.138397,62746300
2021-06-16,130.369995,130.889999,128.460007,130.149994,128.642487,91815000
2021-06-17,129.800003,132.550003,129.649994,131.789993,130.263474,96721700
2021-06-18,130.710007,131.509995,130.240005,130.460007,128.948914,108953300
2021-06-21,130.300003,132.410004,129.210007,132.300003,130.767593,79663300
2021-06-22,132.130005,134.080002,131.619995,133.979996,132.428131,74783600
2021-06-23,133.770004,134.320007,133.229996,133.699997,132.151382,60214200
2021-06-24,134.449997,134.639999,132.929993,133.410004,131.864731,68711000
2021-06-25,133.460007,133.889999,132.809998,133.110001,131.568222,70783700
2021-06-28,133.410004,135.250000,133.350006,134.779999,133.218872,62111300
2021-06-29,134.800003,136.490005,134.350006,136.330002,134.750916,64556100
2021-06-30,136.169998,137.410004,135.869995,136.960007,135.373611,63261400
2021-07-01,136.600006,137.330002,135.759995,137.270004,135.680023,52485800
2021-07-02,137.899994,140.000000,137.750000,139.960007,138.338867,78852600
2021-07-06,140.070007,143.149994,140.070007,142.020004,140.375015,108181800
2021-07-07,143.539993,144.889999,142.660004,144.570007,142.895477,104911600
2021-07-08,141.580002,144.059998,140.669998,143.240005,141.580887,105575500
2021-07-09,142.750000,145.649994,142.649994,145.110001,143.429199,99890800
2021-07-12,146.210007,146.320007,144.000000,144.500000,142.826263,76299700
2021-07-13,144.029999,147.460007,143.630005,145.639999,143.953079,100827100
2021-07-14,148.100006,149.570007,147.679993,149.149994,147.422409,127050800
2021-07-15,149.240005,150.000000,147.089996,148.479996,146.760178,106820300
2021-07-16,148.460007,149.759995,145.880005,146.389999,144.694382,93251400
2021-07-19,143.750000,144.070007,141.669998,142.449997,140.800003,121434600
2021-07-20,143.460007,147.100006,142.960007,146.149994,144.457153,96350000
2021-07-21,145.529999,146.130005,144.630005,145.399994,143.715851,74993500
2021-07-22,145.940002,148.199997,145.809998,146.800003,145.099625,77338200
2021-07-23,147.550003,148.720001,146.919998,148.559998,146.839264,71447400
2021-07-26,148.270004,149.830002,147.699997,148.990005,147.264282,72434100
2021-07-27,149.119995,149.210007,145.550003,146.770004,145.069977,104818600
2021-07-28,144.809998,146.970001,142.539993,144.979996,143.300705,118931200
2021-07-29,144.690002,146.550003,144.580002,145.639999,143.953079,56699500
2021-07-30,144.380005,146.330002,144.110001,145.860001,144.170532,70440600
2021-08-02,146.360001,146.949997,145.250000,145.520004,143.834473,62880000
2021-08-03,145.809998,148.039993,145.179993,147.360001,145.653168,64786600
2021-08-04,147.270004,147.789993,146.279999,146.949997,145.247894,56368300
2021-08-05,146.979996,147.839996,146.169998,147.059998,145.356613,46397700
2021-08-06,146.350006,147.110001,145.630005,146.139999,144.663712,54126800
2021-08-09,146.199997,146.699997,145.520004,146.089996,144.614212,48908700
2021-08-10,146.440002,147.710007,145.300003,145.600006,144.129150,69023100
2021-08-11,146.050003,146.720001,145.529999,145.860001,144.386536,48493500
2021-08-12,146.190002,149.050003,145.839996,148.889999,147.385910,72282600
2021-08-13,148.970001,149.440002,148.270004,149.100006,147.593796,59375000
2021-08-16,148.539993,151.190002,146.470001,151.119995,149.593384,103296000
2021-08-17,150.229996,151.679993,149.089996,150.190002,148.672775,92229700
2021-08-18,149.800003,150.720001,146.149994,146.360001,144.881485,86326000
2021-08-19,145.029999,148.000000,144.500000,146.699997,145.218048,86960300
2021-08-20,147.440002,148.500000,146.779999,148.190002,146.693008,60549600
2021-08-23,148.309998,150.190002,147.889999,149.710007,148.197662,60131800
2021-08-24,149.449997,150.860001,149.149994,149.619995,148.108536,48606400
2021-08-25,149.809998,150.320007,147.800003,148.360001,146.861298,58991300
2021-08-26,148.350006,149.119995,147.509995,147.539993,146.049545,48597200
2021-08-27,147.479996,148.750000,146.830002,148.600006,147.098862,55802400
2021-08-30,149.000000,153.490005,148.610001,153.119995,151.573181,90956700
2021-08-31,152.660004,152.800003,151.289993,151.830002,150.296234,86453100
2021-09-01,152.830002,154.979996,152.339996,152.509995,150.969345,80313700
2021-09-02,153.869995,154.720001,152.399994,153.649994,152.097839,71115500
2021-09-03,153.759995,154.630005,153.089996,154.300003,152.741272,57808700
2021-09-07,154.970001,157.259995,154.389999,156.690002,155.107147,82278300
2021-09-08,156.979996,157.039993,153.979996,155.110001,153.543091,74420200
2021-09-09,155.490005,156.110001,153.949997,154.070007,152.513611,57305700
2021-09-10,155.000000,155.479996,148.699997,148.970001,147.465134,140893200
2021-09-13,150.630005,151.419998,148.750000,149.550003,148.039261,102404300
2021-09-14,150.350006,151.070007,146.910004,148.119995,146.623688,109296300
2021-09-15,148.559998,149.440002,146.369995,149.029999,147.524490,83281300
2021-09-16,148.440002,148.970001,147.220001,148.789993,147.286926,68034100
2021-09-17,148.820007,148.820007,145.759995,146.059998,144.584518,129868800
2021-09-20,143.800003,144.839996,141.270004,142.940002,141.496063,123478900
2021-09-21,143.929993,144.600006,142.779999,143.429993,141.981049,75834000
2021-09-22,144.449997,146.429993,143.699997,145.850006,144.376648,76404300
2021-09-23,146.649994,147.080002,145.639999,146.830002,145.346741,64838200
2021-09-24,145.660004,147.470001,145.559998,146.919998,145.435806,53477900
